Yakandagiye ibinono by'inka; 	He trampled the hooves of a cow;
Ibisigo bitanu byabasumeriya byerekanywe	Five Sumerian poems were presented
"Igihe impongo zakomeretse,"	"When the deer were injured,"
"imibereho n’imyifatire ndetse n’imibanire n’abandi, "	"social and behavioral and interpersonal relationships,"
umusaza w’imvi Pawulo 	the gray-haired old man Paul 
yamenye ko Imana yari yaje gukiza 	he knew that God had come to save 
bigatuma inka ze zibyara inyana 	causing his cows to give birth to calves.
 ukeneye kuzigereka ku rwandiko rusaba ishuri ryisumbuye.	you need to attach it to the application form for high school admission.
mwuzure wa Yorodani	the flood of Jordan
ariko nanone banazi ko hari ubwo bidashoboka	but they also know that sometimes it is impossible
ntiyigeze abona amafaranga yashakaga	he never got the money he wanted
Akenshi usanga ku meza hariho indyo nkene.	Often there is poor diet food on the table.
	
zihisha igihe kirekire 	hiding for a long time
	
aramukumbuye cyane 	he misses him so much 
Ariko Muri Divayi	But In Wine
"Ni Baraba, cyangwa ni Yesu witwa Kristo? ”"	Is it Barabbas or Jesus that is called Christ? ”
mubipimo bitaringaniye urapima	in unequal measurements you measure
"iyo buri muntu ari muri Kristo, "	"when everyone is in Christ,"
"Ku basore kimwe n’abakobwa,"	"For boys and girls,"
"Yagombaga kwerekana ukwihangana n’urukundo bya Kristo, "	"He had to show the patience and love of Christ,"
Noneho intwari iragenda mwitsinda rye hamwe na we	Then the hero goes to his team with him
"Barinaba ajyana Mariko,"	"Barnabas took Mark,"
Byahujwe hamwe 	It was combined together
mark  yahagaritswe na Polisi	mark was stopped by police 
"Uyu munsi nabonye umugeni , "	"""Today I saw a bride "
 bagahumeka neza. 	then they breathe well.
kumuhanda wa nyabugogo 	on the street of nyabugogo 
ubukungu burihuta 	the development is fatest 
gukundwa mu buryo bumwe	to be loved in the same way
uburyohe n’ubushake bukazamuka	the taste and the will goes up 
yamuhaye amafaranga meshi 	he gave her a lot of money 
 kurikira umwanzuro ukurikira  	follow the conclusions below
batandukanye vuba 	its not been long since they divorced
intangiriro n'iherezo ryitumba 	the beginning and end of the winter
mu muhanda kandi bigateza iterambere vuba	on the road and promotes rapid development
nibura amasaha arenga ane	at least more than  four hours
Ni ibihe bibazo by’Abanyarwanda byakemutse?	What are the problems of Rwandans that have been solved?
igihe n’ibitekerezo by’ababyeyi n’abana	time and ideas of parents and children
 ntibashatse kwemera iyi nama.	 they did not want to accept this meeting.
Ibuka amakuru  mbere yabyose	Remember the information before all 
 injyana iterwa n’interuro ngufi	 the melody caused by the short sentences
 akavuga ko nta bwiyunge	say that there is no reconciliation
babahora izina ryanjye	they hurt them because of my name 
ngombwa kwemera ko ntazi byinshi	I have to admit that I don't know much thing
yo kunoza umubano namahanga	for the betterment of foreign relations
byanditse ku mitima y’ababisomye.	written on the hearts of its readers.
Abantu bavuga ko mfite imyaka ingana niya mushiki wanjye. 	People say that I am the same age as my sister.
 Abana bakabuzwa gukinira mu bidendezi by’amazi;	Children are refused to play in the pools;
" utegure icyuma cyintambara, "	" prepare the weapons of war,"
"Umucuranzi nk’uwo unezeza abantu mu bitaramo, "	"Such a musician who entertains people in  concerts,"
Nasanze bigoye kwizera  ibyo yavugaga. 	I found it hard to believe what he was saying.
ariko ako kanya yahise yumvira ibyo Pawulo amutegetse 	but he immediately obeyed Paul's command
abandi mwahiganye bari hehe?”	Where are your other competitors? ”
 ku manywa n'ijoro.	in day and night
Irimbuka ry’izi ngabo ryakomotse kuri Kamara	The destruction of these troops came from Kamara
ariko ugasanga umubiri wose utwikiriye	but you find the whole body covered
"Ni we wadukijije ubutware bw’umwijima, akadukuramo"	"He is the One who saved us from the power of darkness, from which He brought us out"
Urubyaro rwarakoraga kandi rukagira ubutwari	The offspring were industrious and courageous
Nkusezeranyije iyicwa rya Daneme	I promise you Daneme's murder
ariko nigihe kirekire akagaruka 	however it is a long time and then she returns
Nyuma y’imyaka  makumyabiri nirindwi  ari muri gereza	after Twenty-seven years in spent in jail 
abajura bo mumugi wa kigali babamariye muri gereza	thieves in kigali city are all being taken in prison
 gukora imirimo y’igihe gito yo muri iyi si	 short-term work of this world 
Abandi bafite ubwo butware 	Others have that authority 
akeka ko yari yaratangiye guhohoterwa n'umugabo we	she suspects she had started being violated by her husband
Iki gitabo kivuga ko inzovu zibaho kurenza imyaka ijana. 	"According to the book, elephants live for more than a hundred years."
Ikamba ku mutwe wanjye	A crown on my head
Ntugasubize mu ishuri kuko nibibi	don't answer in  school because it's bad
Yahoraga asaba Imana ngo igire icyo ikorera Abisirayeli 	He always asked God to do something for the israelites
Ahantu heza ho kuruhukira muri salo	Great place to relax in the living room
gukora isuku mu biruhuko.	cleaning during the holidays.
kiragaragara nyuma y'isuzuma kandi mu gihe kidatinze	it appears after the examination and soon
"uyu yavuye i Butare yerekeza muri Uganda, "	"this one came from Butare heading to Uganda,"
ibintu by’ingenzi wakora bikagufasha	important things you can do to help you
	
hazafungura kuwambere	it will open on Monday
 bikwiye kwinjizwa mu mihango y’idini	should be included in religious rites
Nguko uko ndirimba  nkishima 	That is how I sing and be happy
 imyifatire ya Felix yari isuzuguritse. 	 Felix's conduct was contemptible.
kubisesengura no kubikoresha neza mu nteruro	analyzing it and using it well in sentences
 amafaranga akorera yari macye	 his working income was low
Yahise yihutira kundirimbira muri raggae	He immediately sang to me in raggae
ukuri kwe kuzamukiza 	his truth will save him 
muhaguruke muririmbe	Stand up and sing
 azahora yifatanya n’inyokomuntu	 he will always be with mankind
ngo bari bayobowe n'abatutsi	that they were led by the Tutsis.
 bakundaga gutazira amazina 	they liked nicknaming
	
yahise afata akantu	he immediately took something
	
Kimwe mu bintu by’ingenzi cyane 	One of the most important thing
ubuzima bwe bwose bwari bwarahinduwe n’ubuntu	his whole life had been changed by grace
Umugabo azategereza urukiko rw'ikirenga	The man will wait for the high court
Sinshaka kumera gutya nanjye. 	I don't want to be like this too.
ubu ni mu Karere ka Rubavu	it is now in Rubavu District
Allah ni izina bwite ry’Imana 	Allah is the personal name of God
Kurokoka biguha amahoro	Surviving gives you peace
kugendera mu nzira nyayo y'Umwami	" walking in the right way of the Lord,"
Imyitozo ya siporo	sports exercise
umuryango wabanje kuva mu Burayi	first family to leave Europe
Ndagutera umwete wo kureba mu buryo bwiza 	I will encourage you to look at it from a positive perspective
bashora imari zabo 	they invest their money 
" bakwiriye gushikama ku Mana,"	"they have to be faithful to God,"
Mukomeze gushaka ibiryo by'ingurube 	continue looking for pig's food
Kabatende asobanura ko bazibandwaho 	Kabatende explains that it will be focused on
itegura ikanakurikirana ibikorwa bya Nyampinga wu rwanda	it prepares and monitors the activities of Miss of Rwanda
gifungurwa ku mugaragaro umwaka ushize.	opened officially last year.
bikwiye gufatirwa ibihano bitinyitse	it should be subject to strict penalties
 “Mwami urashaka ko nkora iki? ” 	"“What do you want me to do, Lord? ” "
Yamutwaye vuba 	he took him fast
Imana mu mbabazi zayo 	God in His mercy 
Icyarabu cyanjye ntabwo ari cyiza cyane	My Arabic is not very good
bifatirwa umwanzuro mu rwego rw’ubutegetsi	it is decided at the administrative level
 ibishyimbo byo murwanda	beans of Rwanda
aho ahantu hari hubatse neza	That place was built nicely
amaze mu mazi amasaha menshi	he has been in water for hours
ntakurenganurwa 	without being given justice 
makumyabiri nebyiri Nyakanga	twenty second July
 iryo koranabuhanga rikora rite?	how does that technology work?
abahungu n'abakobwa	boys and girls
inkuru mpimbano zadindije ifatwa rya Kabuga	False stories delayed Kabuga's arrest
Mvugihije ukuri simbyibuka	Honestly I can't remember
imigenzo n’imihango yabo 	"their customs and rituals,"
Sinkunda uburyo usa.  	I don’t like the way you look. 
 niyo mpamvu mutabonanye	 is it why you didn't see each other
kubera ko hari umuntu wifuza ibyo dufite . 	because someone wants what  we have. 
Kevin na Joe bari mu bamwambariye	Kevin and Joe were among those who dressed for him
"Mu rwandiko rwe rwa mbere yandikiye Itorero ry’i Korinto,"	"In his first letter to the Corinthian Church,"
umukobwa bakavuga ko baje gusaba 	the girl they say they came to ask for
Guteza imbere ubushobozi bwacu 	Developing our capabilities 
impamvu yifuza kubona undi. 	why he wants to see another.
Yavuze ko nta cyizere cyo gukomeza afite	He said he had no hope of continuing 
wari umuryango wa Gikristo uzwi cyane 	it was a well-known Christian community 
Nubwo inyandiko zavuguruwe zishingiye ku buvumbuzi 	Although revised documents are based on discovery
Nkunda imbwa kuruta injangwe. 	I love dogs more than cats.
 byibumbiye hamwe	 are intertwined
Arambura amaboko abaha umugisha 	He stretched out his hand and blesses them 
"Umubyeyi wahoberaga umukobwa,"	"A parent who hugged a girl,"
 umuforomo ufite amafaranga 	a nurse who has money 
rutagira Umwami 	without King 
"yagakwiye kuba yaragumye i Nyanza,"	he should have stayed in Nyanza
kibanziriza izina 	it precedes the name 
 twese turi abagabo bo guhamya ibyo.	we are all witnesses to that.
 reka nsobanure 	Let me explain
agomba kuba ahari	he must be present
yahita arangiza vuba.	he would finish quickly
mu rwego rwo kuyirinda 	in order to prevent it
avuga ku ntsinzi yose twagezeho	he speaks of all the victories we have achieved 
ndisukira ikirahure cy'amazi	I will pour myself a glass of water
hariho umukecuru 	there was an old lady 
 umuhinzi udahingira urugo rwe gusa.	a farmer who doesn't cultivate only for his home.
ariko umugabo uzi gukora ibisabwa	but a man who knows how to do what's required
bibwe kuri ba nyina babakunda	stolen from loving mothers
nabonye imodoka ndende kurusha izindi ku isi 	I found the tallest car in the world
 byagufasha kurushaho kwiyungura ubumenyi.	 that will help you gain more knowledge.
Nta kintu na kimwe gifite agaciro gakomeye mu maso y’Imana.	Nothing is precious in the eyes of God.
Kandi ukazunguza amaguru yawe 	And he shakes your legs
"Kwanga umugayo aribyo kudahemuka, "	Hating shame which is honesty
Vuga insanganyamatsiko  	State the theme 
Ruswa ituma igihugu kidatera imbere 	 Corruption keeps the country from developing
bagahishurira isi ko ari bamwe na Kristo 	 and they reveal to the world that they are one with Christ 
gukora ibibi	doing evil
bumwe mu buryo bakoresha iyo baganira	one of the methods they use when they talk
 ayobora abantu  	she guided the people 
kuva iburengerazuba bwa Syria kugera mu burasirazuba 	from west of Syria to the east
Bizaba bihagije 	It will be enough
kubahuka Imana 	disrespecting God
kwigishwa gukunda Imana	being taught to love God
Abakiriya be bakunda ko azi no kwakira abakiriya	His customers love that he knows how to welcome customers
Nakore iki ngo nkizwe?”	"""What can I do to be saved?"""
"Ubwiza bumwe budasanzwe,"	wonderful beauty
Kandi ikore kuburyo ukora ibiri byo	And make sure you do the right thing
"Mu buzima bw’umuntu uwo ari we wese,"	"In the life of anyone,"
kurangwa n’umutima ukunda abantu.	characterized by a loving heart for people 
Igihe inkota yari imaze kugwa 	When the sword had fallen 
imibonano mpuzabitsina 	sexual intercourse 
 ikize kuri vitamini K na B	 it is rich in vitamin K and B
inkomoko y’ubuzima	the origin of life
indirimbo zabo zemewe	their liked songs 
Ntukwiye kugira impugenge ahubwo ukwiye gushaka ibisubizo	You should not worry but you should seek solution 
Ibi kandi ngo byaba byiza kurushaho	This also would be better
Himbaza Imana ukiri mu kibazo.	Praise God while you are still in trouble.
ahubwo tube maso twirinde ibisindisha.” 	but be aware of alcohol. ”
Byanditswe ko igikorwa cye gifite umumaro	It is written that his work has purpose
"muri rusange n’urubyiruko by’umwihariko,"	" in general and the youth in particular,"
kugira ngo bamwice.	in order to kill him.
dushobora gushyira ingigo kuruhande 	 we can set the topic  aside
Ubuhumyi n’ubwoba bifata Sawuli	Blindness and fear gripped Saul 
Twakomeje kubaho mu mibereho y’inyamaswa 	We have continued to live the life of animals 
kandi abanditsi ntabwo ari aba iki gihe turimo.	and the writers are not the ones of today.
wari waraciriwe urwo gupfa	who had been sentenced to death 
 nta nubwo byari birebire	It was not even a big deal
"bemeye Kristo nk’Umucunguzi wabo banezerewe, "	"they accepted Christ as their Redeemer happily,"
yagiye kwifatanya na bo	he went to join them 
ni ukubera iki ururimi rwange rutavugwa 	why is my language not spoken?
Bafashe inzira bajya mu mugi 	They went to town
rugagi yabajijwe n’itangazamakuru 	rugagi was interviewed by the media
	
hari ibyo bakora ngo babe abayobozi?	is there anything they an do in order to be leaders?
ibintu byose bigira akamaro	everything has an importance
che guevara numuntu wumugabo ndamwemera	che guevara is a man I respect him
 yari akiri kumwe nawe. 	 he was still with you.
 bari kumwe na we	there were with him
Nemera ko Imana ijya ikoresha abantu 	I believe that God uses people
 bajya kumuregera Rukara.	they went to report him to Rukara.
 mwijoro ryubukwe 	on the wedding night 
ubahe imbaraga 	Give them strength 
Iyaba jye ngo nkwereke	If only It was me and I show you
mukarere ka Afurika y’Uburasirazuba 	in the East African region
"Vuga ibisingizo bye kubyo yagiriye Yobu,"	speak his legacy to what he did to job
isengesho ryo mu ruhame 	public prayer 
 nzagutuma kure 	I will send you far
uwishimiye gutoteza abantu 	one who is happy to persecute people
umugabo wesa imihigo	a man who achieves goals 
gisimbura ijambo ribanjirije inshinga.	which replaces the prefix of the verb.
iruka ry’ibirunga.	 volcanic eruption.
Sinshaka kurwana nawe . 	I don't want to fight you .
Nubwo bidakunze gutindwaho cyane	Although not often cared
ubusizi n’ubuvanganzo.	poetry and literature.
Ikoranabuhanga ni ingenzi 	Technology is important
Ariko ndimo kukiga	"But I'm learning it, "
yari yaratangaje inyandiko	she had published articles
 ahamya ko hariho Abahutu bafashaga abatutsi	She asserts that there were hutus who were helping tutsis
icya kabili nuko ntamushaka hano	"secondly, I don't want him here"
"Abana be rero abatoza guca imigani, "	So he taught his children to tell fables
inama yari yagiranye na bagenzi be yaramufashije.	the meeting she had wth her friends helped her
inganda zitandukanye zikorera mu Rwanda	different factories operating in Rwanda
Bimwe mu bibazo by'ingenzi 	Some of the  important question  
 kunywa amazi menshi ni byiza kubuzima	 drinking plenty of water is good for health
mundwanye gusa ntimuzambona	 just fight me and you won't see me
bigenda byubaka amagambo akoreshwa 	it gradually builds up the words used
nyuma yo kugwa arahaguruka	after falling he got up
iminsi ya nyuma yubuzima bwanjye	the last days of my life
"isi n’ijuru hombi hazaba ari ahantu heza cyane,"	"both earth and heaven will be beautiful places,"
Gerageza gukoresha ubu buryo  byibura kabiri mu cyumweru.	Try using this method at least twice a week.
"bana bange dore ndashaje,"	"My children,  look I am old,"
 Afite ubuhinzi bukomatanyije n’ubworozi 	 He has a combined farming and animal farm
Kristo yabwiye abigishwa be ko bagomba gutangira umurimo	Christ told His disciples that they should begin their work
ngo isi yizere ko ari wowe wantumye. 	that the world may believe that you sent me.
bahindura uruhare rw'umusaza 	they change the role of the old man 
Ntekereza ko uzi aho nshaka kujya. 	I think you know where I want to go.
wowe nanjye nitwe nyina wumwana	you and I are the mother of the child
 umubano mwiza hagati yawe n’Imana Data. 	your good relationship with God the Father.
Ni imvugo ifite uwo yakomotseho 	It is an expression that has who it originated from 
iperereza rya africa 	 investigation of africa
Kabuga amaze imyaka myinshi	Kabuga has been around for years
"Mu gihe umuyaga uhushye mu buzima bwawe, "	"As the wind blows in your life, "
 abategetsi b'Abanyarwanda b'igihe cya gikoloni	Rwandan rulers of the colonial period
umugabo we Rujugira akaragwa ubwami. 	her husband Rujugira inherits the kingdom.
 nk’uko kristo yatunganyije urusengero 	 as Christ organized the church
"Igihe bari bari mu maganya, "	"When they were in distress,"
Ufite icyo ushaka kuvuga? 	Do you have anything to say?
ibigaragara ari igihu gusa	what appears to be just mist
Banza ubone ubutunzi	Get rich first
Ubwo basengaga Umwami Imana 	When they worshiped the Lord God 
"Ibi byamamare tugiye kuganiraho byabaye kimenyabose, "	"These celebrities we are going to talk about have become famous,"
Mukobanya ni mukuru	Mukobanya is old
"mu mudugudu witwa Anatoti,"	"in the village called  Anathoth,"
Twese tugira ubushobozi butubamo bwinshi.	We all have a lot of potential.
Iki gikorwa cyaje guhabwa agaciro 	This activity was later given values
inyungu yazaniraga abayihinga.	 benefits it brought to it's farmers.
" atari ubwo kwigisha ukuri gusa, "	"not just to teach the truth,"
" impano yo gukiza indwara, "	"the gift of healing,"
basuraga  igihugu	the were visiting the country 
’ifumbire mvaruganda.	industrial fertilizers.
 tukahaca amaterasi	and we traced the terraces 
indi mihango yo mu muco w’Abahinde	other rituals in Indian culture
Hari abandi batware bagiye bacibwa	There were other leaders who were ousted
inyamaswa n’ibindi bidukikije 	animals and other surroundings
Nahise mvuga	I immediately said:
Muririmbire bagenzi banyu	Sing to your fellow comrades
 	
Ni iyihe mpamvu igaragara mu mwandiko 	What are the main reasons in the text?
yongeyeho ko iyo ataza hari kujyayo undi	he added that if he hadn't come another person would have gone there
Ni ryari uzagaruka ukareba urukundo?	When will you come back and see love?
umugore we  yari yaremye isoko 	his wife had opened the market
"amaze imyaka ibarirwa mu bihumbi,"	"he been there for thousands of years,"
umutima wintwari	a hero's heart
 Abandi bantu	Other people
 Loti yakubise ingoyi yicyuma;	 Loti struck an iron chain;
"njyewe icyonzi ni kimwe,"	the one thing I know 
 ntawundi wari ubizi	 no one else knew
"mu kiganiro cy’ijoro ryose bagiranye, "	"in their all-night conversation,"
 ni ishusho yabo bakiri bato 	its their picture when they were young
"Murorunkwere yasimbujwe murumuna we, "	" Murorunkwere was replaced by his little brother,"
"Umwami ayobore imitima yanyu yose,"	"May the Lord guide all your hearts,"
Ntituri ab’ijoro cyangwa ab’umwijima. 	We are not of the night or of the darkness.
"ari hafi yo kuruhuka, "	he's close to retirement
ohereza urukundo	Send love
aho nari nicyaye 	where I was sitting
ubumuntu bubagaragaraho 	humanity is seen in them
kugirango bashobore kwambuka  amazi 	so that they can cross the water 
Ikeshamvugo rero ni uburyo bwo gukoresha	So rhetoric is a way to use
yaba umukuru n’umuto: 	 whether the old or theyoung:
biherekejwe n'ijambo	 accompanied by a word
Igabanuka ry'ibiciro	reduction of prices
inyungu rusange	common benefit
uwo munyabyaha azapfa	that sinner shall die
nyagasani wababiligi 	lord of the Belgians 
tugiye kubatekerereza	we are going to think for you 
kuko nawe yagombaga gusimburwa	because he also had to be replaced 
Ndabasengera mwese	I will Pray for all of you
Bitangira ari nk’akabuto 	It begins as a seed 
kuko bari bafite ubwoba	because they were afraid
"uruzi rwa Nyabarongo, "	"Nyabarongo River,"
abapfiriye muri Kristo bazabanza kuzuka 	those who died in Christ will firstb  resurrect
ukuntu abasokuruza bacu ba mbere bakwirakwiriye"	the way our ancestors spread
inkuru eshanu zisigaye	The remaining five stories 
umwuka mubi	 bad breath
"porogaramu muri telephone zabo,"	program in their phones
 dusanga muri Bibiliya 	 we find in the Bible
 kugira umutima ukomeye	to have a strong heart
 Abanyarwanda babakandamije mu bukoloni.	 Rwandans were oppressed in colonisation
menya amakuru 	know the information 
maze yiyereka umuhanuzi	and he appeared to the prophet 
babazwaga ibijyanye n'umuhigo	they were asked about hunting
umugambi we ukomeye 	 his strong plan
Ariko ubu uri gutinda 	But now he is delaying 
Ibikorwa ku mwandiko:	Activities in text:
 ibintu bibiri bidatandukanywa	 two inseparable things.
Impamvu ni uko ikirwa ari ubutaka 	The reason is that the island is land
imigenzo by’Abayahudi.	traditions of the Jews.
 	
Njyewe nemera Rukara rwa Bishingwe	I like Rukara rwabishyigwe 
Kumira umunwa 	Swallowing his mouth 
abona akamaro ko gutandukanya abami	he sees the importance of separating kings
bagakomeza kumenya ubwenge	and they continue to gain knowledge
kalinga yishe so kurugamba 	kalinga killed your father at war 
Imico y’umuntu igaragazwa n’imyambarire ye.	A person's character is reflected in his or her clothes
" bazana n'imbehe nyinshi zuzuye umufa,"	" and they came with wooden plates full of corn,"
Ikirundo cy’amase	pile of manure
Njyewe si nkunda umupira w'amaguru cyane	I'm not a big fan of football
nibagiwe izina rye 	I forgot her name 
abayobozi babishishikarize abo bayoboye	leaders should encourage their subordinates
Amafunguro yari menshi	Food was plentiful 
 gufungwa igihe kini 	being imprisoned for a long time
Umugore wanjye yari afite ubwoba bwinshi 	My wife was very scared
Uko umuvugo wandikwa 	The way the poem is written 
 inzitwazo zose zatuma bamurwanya.	 all excuses that would lead to his opposition.
Izina ry’urusobe	A complex name 
yari hamwe nawe mu nzu y’imbohe 	he was with you in the prison
kuniha kubera ko barwaye 	moaning because they are sick
ingurube zikunda ibijumba 	pigs like sweet potatoes 
abikura mu gakino dukina	he gets it from the game we play
umuhamagaro mwiza 	a nice vocation  
uhereye igihe ahagarikiye  kuba umukozi we; 	from the time he stoped being his servant;
ntibiboneke ahandi rero	then it should not be seen anywhere else
ibigo bikora ibyo gushaka abana babuze	agencies that look for missing children 
birashoboka buri gihe gutangira bundi bushya.	it is always possible to start anew.
ubuzima bugerageza kuba bwiza	life tries to be good
ndetse twakongeraho ko adushoboza gukora 	we would even add that he encourages us to work
Avuga ko bamwe mu bamutinyaga 	He says hat some of those who feared him
Kurandurana ibiti	Eradication of  trees 
Ndashaka ko ureka gushaka Karegeya. 	I want you to stop looking for Karegeya.
byerekana uburyo bwo kumva 	shows ways to be heard
bayobowe mu mirima ikungahaye 	they were led to the richest fields 
Ishusho ya Rayon Sports mbere yo gutangira	Picture of Rayon Sports before the start
maze bashyira ubugingo bwabo mu kaga	and they put their lives in danger
aya ni amakakama y’ibiti byakomokaga mu Buhinde	these are the bark of the trees that came from India
umugabo azagaruka vuba numugore we 	the man will com soon with his wife
